date,state,county,category,visitIndex,visitsAbove65Index,visitsBelow65Index,rank
2020-03-10,California,Alameda County,Banks,94,94,94,27
2020-03-10,California,Alameda County,Alcohol,95,110,95,28
2020-03-10,California,Alameda County,Bus,80,94,80,29
2020-03-10,California,Alameda County,Discount Stores,111,121,111,30
2020-03-11,California,Alameda County,Food,96,86,97,1
2020-03-11,California,Alameda County,Shops & Services,100,95,100,2
2020-03-11,California,Alameda County,Outdoors & Recreation,102,94,103,3
2020-03-11,California,Alameda County,Grocery,115,110,115,4
2020-03-11,California,Alameda County,Professional & Other Places,92,89,92,5
2020-03-11,California,Alameda County,School,97,84,97,6
2020-03-11,California,Alameda County,Medical,94,109,94,7
2020-03-11,California,Alameda County,Gas Stations,96,99,96,8
2020-03-11,California,Alameda County,Office,76,81,76,9
2020-03-11,California,Alameda County,Colleges & Universities,68,78,68,10
2020-03-11,California,Alameda County,Fitness Center,88,69,88,11
2020-03-11,California,Alameda County,Fast Food Restaurants,94,79,94,12
2020-03-11,California,Alameda County,Nightlife Spots,93,104,93,13
2020-03-11,California,Alameda County,Travel & Transport,66,62,66,14
2020-03-11,California,Alameda County,Big Box Stores,119,132,118,15
2020-03-11,California,Alameda County,Airport,75,79,75,16
2020-03-11,California,Alameda County,Arts & Entertainment,86,93,85,17
2020-03-11,California,Alameda County,Residences,96,143,94,18
2020-03-11,California,Alameda County,Drug Store,107,104,107,19
2020-03-11,California,Alameda County,Metro Stations,77,106,76,20
2020-03-11,California,Alameda County,Spiritual Center,90,84,90,21
2020-03-11,California,Alameda County,Convenience Store,90,81,91,22
2020-03-11,California,Alameda County,Government,98,85,99,23
2020-03-11,California,Alameda County,Hotel,79,86,79,24
2020-03-11,California,Alameda County,Hardware Stores,116,123,116,25
2020-03-11,California,Alameda County,Banks,101,80,102,26
2020-03-11,California,Alameda County,Sports,100,116,99,27
2020-03-11,California,Alameda County,Alcohol,95,97,95,28
2020-03-11,California,Alameda County,Bus,89,83,89,29
2020-03-11,California,Alameda County,Discount Stores,117,128,117,30
2020-03-12,California,Alameda County,Food,93,82,93,1
2020-03-12,California,Alameda County,Shops & Services,96,84,97,2
2020-03-12,California,Alameda County,Outdoors & Recreation,96,84,97,3
2020-03-12,California,Alameda County,Grocery,120,100,120,4
2020-03-12,California,Alameda County,Professional & Other Places,91,87,91,5
2020-03-12,California,Alameda County,School,95,99,95,6
2020-03-12,California,Alameda County,Medical,95,91,95,7
2020-03-12,California,Alameda County,Office,78,79,78,8
2020-03-12,California,Alameda County,Gas Stations,90,94,90,9
2020-03-12,California,Alameda County,Fast Food Restaurants,95,87,95,10
2020-03-12,California,Alameda County,Fitness Center,85,73,85,11
2020-03-12,California,Alameda County,Nightlife Spots,86,91,86,12
2020-03-12,California,Alameda County,Colleges & Universities,50,62,50,13
2020-03-12,California,Alameda County,Airport,71,42,72,14
2020-03-12,California,Alameda County,Big Box Stores,109,74,110,15
2020-03-12,California,Alameda County,Arts & Entertainment,86,111,85,16
2020-03-12,California,Alameda County,Residences,98,93,98,17
2020-03-12,California,Alameda County,Drug Store,107,90,107,17
2020-03-12,California,Alameda County,Travel & Transport,49,41,49,18
2020-03-12,California,Alameda County,Spiritual Center,107,100,107,19
2020-03-12,California,Alameda County,Convenience Store,93,98,93,20
2020-03-12,California,Alameda County,Metro Stations,66,107,66,21
2020-03-12,California,Alameda County,Hotel,86,87,86,22
2020-03-12,California,Alameda County,Hardware Stores,109,135,108,23
2020-03-12,California,Alameda County,Government,81,81,81,24
2020-03-12,California,Alameda County,Banks,95,78,96,25
2020-03-12,California,Alameda County,Sports,94,81,95,26
2020-03-12,California,Alameda County,Alcohol,103,114,103,27
2020-03-12,California,Alameda County,Bus,84,112,84,28
2020-03-12,California,Alameda County,Discount Stores,104,62,106,29
2020-03-13,California,Alameda County,Food,89,80,89,1
2020-03-13,California,Alameda County,Shops & Services,98,91,98,2
2020-03-13,California,Alameda County,Grocery,141,124,142,3
2020-03-13,California,Alameda County,Outdoors & Recreation,91,77,92,4
2020-03-13,California,Alameda County,Professional & Other Places,89,84,89,5
2020-03-13,California,Alameda County,School,86,83,86,6
2020-03-13,California,Alameda County,Gas Stations,102,114,102,7
2020-03-13,California,Alameda County,Medical,95,91,96,8
2020-03-13,California,Alameda County,Fast Food Restaurants,97,84,97,9
2020-03-13,California,Alameda County,Office,82,92,82,10
2020-03-13,California,Alameda County,Nightlife Spots,80,72,81,11
2020-03-13,California,Alameda County,Big Box Stores,132,113,133,12
2020-03-13,California,Alameda County,Fitness Center,87,72,87,13
2020-03-13,California,Alameda County,Drug Store,125,99,126,14
2020-03-13,California,Alameda County,Airport,71,59,71,15
2020-03-13,California,Alameda County,Arts & Entertainment,66,53,67,16
2020-03-13,California,Alameda County,Residences,99,72,99,17
2020-03-13,California,Alameda County,Colleges & Universities,64,49,64,18
2020-03-13,California,Alameda County,Travel & Transport,55,41,55,19
2020-03-13,California,Alameda County,Spiritual Center,94,78,94,20
2020-03-13,California,Alameda County,Convenience Store,93,122,93,21
2020-03-13,California,Alameda County,Banks,100,102,100,22
2020-03-13,California,Alameda County,Hardware Stores,123,88,124,23
2020-03-13,California,Alameda County,Metro Stations,63,56,64,24
2020-03-13,California,Alameda County,Hotel,69,53,69,25
2020-03-13,California,Alameda County,Alcohol,116,95,116,26
2020-03-13,California,Alameda County,Government,92,67,93,27
2020-03-13,California,Alameda County,Sports,104,112,104,28
2020-03-13,California,Alameda County,Discount Stores,120,71,122,29
2020-03-13,California,Alameda County,Bus,91,84,91,30
2020-03-14,California,Alameda County,Food,65,56,66,1
2020-03-14,California,Alameda County,Shops & Services,70,62,71,2
2020-03-14,California,Alameda County,Grocery,115,108,116,3
2020-03-14,California,Alameda County,Outdoors & Recreation,55,56,55,4
2020-03-14,California,Alameda County,Professional & Other Places,67,68,67,5
2020-03-14,California,Alameda County,Gas Stations,75,61,75,6
2020-03-14,California,Alameda County,Big Box Stores,98,99,98,7
2020-03-14,California,Alameda County,Fast Food Restaurants,73,85,73,8
2020-03-14,California,Alameda County,Nightlife Spots,53,60,53,9
2020-03-14,California,Alameda County,Fitness Center,72,54,73,10
2020-03-14,California,Alameda County,Drug Store,100,118,99,11
2020-03-14,California,Alameda County,Airport,79,66,80,12
2020-03-14,California,Alameda County,Medical,80,62,80,12
2020-03-14,California,Alameda County,Arts & Entertainment,38,31,38,13
2020-03-14,California,Alameda County,Residences,67,74,67,14
2020-03-14,California,Alameda County,School,58,56,58,15
2020-03-14,California,Alameda County,Convenience Store,76,67,76,16
2020-03-14,California,Alameda County,Hardware Stores,86,69,86,17
2020-03-14,California,Alameda County,Hotel,68,84,68,18
2020-03-14,California,Alameda County,Spiritual Center,56,40,57,19
2020-03-14,California,Alameda County,Colleges & Universities,40,25,40,20
2020-03-14,California,Alameda County,Travel & Transport,41,48,41,21
2020-03-14,California,Alameda County,Office,79,78,79,22
2020-03-14,California,Alameda County,Banks,68,76,68,23
2020-03-14,California,Alameda County,Alcohol,73,101,73,24
