date,county,categoryName,visitIndex
2020-03-17,Monterey County,Big Box Stores,132
2020-03-17,Monterey County,Fast Food Restaurants,79
2020-03-17,Monterey County,Coffee Shops,75
2020-03-17,Monterey County,Hotels,55
2020-03-17,Monterey County,Pharmacies,112
2020-03-17,Monterey County,Convenience Stores,85
2020-03-17,Monterey County,Government Buildings,84
2020-03-17,Monterey County,Churches,80
2020-03-17,Monterey County,Hardware Stores,108
2020-03-18,Monterey County,Grocery Stores,103
2020-03-18,Monterey County,Gas Stations,70
2020-03-18,Monterey County,Mexican Restaurants,59
2020-03-18,Monterey County,Fast Food Restaurants,60
2020-03-18,Monterey County,Big Box Stores,82
2020-03-18,Monterey County,Hotels,42
2020-03-18,Monterey County,Pharmacies,83
2020-03-18,Monterey County,Coffee Shops,57
2020-03-18,Monterey County,Convenience Stores,74
2020-03-19,Monterey County,Grocery Stores,80
2020-03-19,Monterey County,Gas Stations,76
2020-03-19,Monterey County,Fast Food Restaurants,56
2020-03-19,Monterey County,Mexican Restaurants,51
2020-03-19,Monterey County,Big Box Stores,71
2020-03-19,Monterey County,Pharmacies,83
2020-03-19,Monterey County,Coffee Shops,56
2020-03-19,Monterey County,Hotels,34
2020-03-19,Monterey County,Beaches,84
2020-03-19,Monterey County,Parks,100
2020-03-19,Monterey County,Elementary Schools,45
2020-03-20,Monterey County,Grocery Stores,89
2020-03-20,Monterey County,Gas Stations,65
2020-03-20,Monterey County,Mexican Restaurants,53
2020-03-20,Monterey County,Fast Food Restaurants,53
2020-03-20,Monterey County,Big Box Stores,85
2020-03-20,Monterey County,Coffee Shops,55
2020-03-20,Monterey County,Hotels,36
2020-03-20,Monterey County,Pharmacies,77
2020-03-20,Monterey County,Convenience Stores,67
2020-03-21,Monterey County,Grocery Stores,73
2020-03-21,Monterey County,Mexican Restaurants,49
2020-03-21,Monterey County,Gas Stations,45
2020-03-21,Monterey County,Fast Food Restaurants,45
2020-03-21,Monterey County,Big Box Stores,58
2020-03-21,Monterey County,Pharmacies,77
2020-03-22,Monterey County,Grocery Stores,42
2020-03-01,Napa County,Wineries,98
2020-03-01,Napa County,Hotels,119
2020-03-01,Napa County,Grocery Stores,97
2020-03-01,Napa County,Big Box Stores,128
2020-03-02,Napa County,Wineries,89
2020-03-02,Napa County,Hotels,109
2020-03-02,Napa County,Grocery Stores,96
2020-03-03,Napa County,Wineries,85
2020-03-03,Napa County,Grocery Stores,98
2020-03-03,Napa County,Hotels,93
2020-03-04,Napa County,Wineries,93
2020-03-04,Napa County,Hotels,93
2020-03-04,Napa County,Grocery Stores,81
2020-03-05,Napa County,Wineries,91
2020-03-05,Napa County,Hotels,98
2020-03-05,Napa County,Grocery Stores,90
2020-03-05,Napa County,Big Box Stores,112
2020-03-06,Napa County,Wineries,96
2020-03-06,Napa County,Grocery Stores,91
2020-03-06,Napa County,Hotels,76
2020-03-06,Napa County,Big Box Stores,97
2020-03-07,Napa County,Wineries,79
2020-03-07,Napa County,Hotels,83
2020-03-07,Napa County,Grocery Stores,106
2020-03-07,Napa County,Big Box Stores,92
2020-03-07,Napa County,American Restaurants,91
2020-03-08,Napa County,Wineries,71
2020-03-08,Napa County,Grocery Stores,92
2020-03-08,Napa County,Hotels,98
2020-03-08,Napa County,Big Box Stores,111
2020-03-09,Napa County,Wineries,93
2020-03-09,Napa County,Grocery Stores,89
2020-03-09,Napa County,Hotels,95
2020-03-09,Napa County,Big Box Stores,115
2020-03-10,Napa County,Wineries,96
2020-03-10,Napa County,Grocery Stores,91
2020-03-10,Napa County,Hotels,81
2020-03-11,Napa County,Wineries,102
2020-03-11,Napa County,Grocery Stores,104
2020-03-11,Napa County,Hotels,82
2020-03-12,Napa County,Wineries,90
2020-03-12,Napa County,Grocery Stores,101
2020-03-12,Napa County,Hotels,81
2020-03-13,Napa County,Wineries,94
2020-03-13,Napa County,Grocery Stores,117
2020-03-13,Napa County,Hotels,81
2020-03-13,Napa County,Big Box Stores,112
2020-03-14,Napa County,Wineries,75
2020-03-14,Napa County,Hotels,79
2020-03-14,Napa County,Grocery Stores,91
2020-03-14,Napa County,Big Box Stores,102
2020-03-15,Napa County,Wineries,66
2020-03-15,Napa County,Grocery Stores,92
2020-03-15,Napa County,Big Box Stores,139
2020-03-15,Napa County,Hotels,77
2020-03-16,Napa County,Grocery Stores,127
2020-03-16,Napa County,Wineries,57
2020-03-16,Napa County,Big Box Stores,142
2020-03-17,Napa County,Wineries,71
2020-03-17,Napa County,Grocery Stores,128
2020-03-17,Napa County,Big Box Stores,106
2020-03-18,Napa County,Wineries,55
2020-03-18,Napa County,Grocery Stores,94
2020-03-19,Napa County,Wineries,55
2020-03-19,Napa County,Grocery Stores,93
2020-03-20,Napa County,Grocery Stores,73
2020-03-20,Napa County,Wineries,32
2020-03-21,Napa County,Grocery Stores,64
2020-03-01,Nevada County,Grocery Stores,100
2020-03-02,Nevada County,Grocery Stores,95
2020-03-05,Nevada County,Grocery Stores,100
2020-03-06,Nevada County,Grocery Stores,101
2020-03-07,Nevada County,Grocery Stores,80
2020-03-08,Nevada County,Grocery Stores,102
2020-03-09,Nevada County,Grocery Stores,108
2020-03-10,Nevada County,Grocery Stores,103
2020-03-11,Nevada County,Grocery Stores,107
2020-03-12,Nevada County,Grocery Stores,116
2020-03-13,Nevada County,Grocery Stores,124
2020-03-13,Nevada County,Shopping Plazas,146
2020-03-14,Nevada County,Grocery Stores,94
2020-03-16,Nevada County,Grocery Stores,119
2020-03-16,Nevada County,Gas Stations,155
2020-03-17,Nevada County,Grocery Stores,126
2020-03-20,Nevada County,Grocery Stores,97
2020-03-21,Nevada County,Grocery Stores,74
2020-03-01,Orange County,Theme Parks,99
2020-03-01,Orange County,Grocery Stores,104
2020-03-01,Orange County,Shopping Malls,101
2020-03-01,Orange County,Fast Food Restaurants,104
2020-03-01,Orange County,Theme Park Rides/Attractions,98
2020-03-01,Orange County,Gas Stations,102
2020-03-01,Orange County,Churches,93
2020-03-01,Orange County,Big Box Stores,109
2020-03-01,Orange County,Coffee Shops,101
2020-03-01,Orange County,Parks,88
2020-03-01,Orange County,Mexican Restaurants,103
2020-03-01,Orange County,Hotels,90
2020-03-01,Orange County,Resorts,97
2020-03-01,Orange County,Shopping Plazas,106
2020-03-01,Orange County,Supermarkets,98
2020-03-01,Orange County,Warehouse Stores,119
2020-03-01,Orange County,Parking,95
2020-03-01,Orange County,American Restaurants,102
2020-03-01,Orange County,Residential Buildings (Apartments / Condos),93
2020-03-01,Orange County,Pharmacies,103
2020-03-02,Orange County,Grocery Stores,105
2020-03-02,Orange County,Fast Food Restaurants,103
2020-03-02,Orange County,Theme Parks,89
2020-03-02,Orange County,Shopping Malls,98
